customer_id,first_name,last_name,email,phone,address,city,state,license_num,last_contact
1,David,Wagner,david.wagner@gmail.com,1547387057,3858 Charles Camp,Port Caroltown,NY,803483320,2025-03-18
2,Kim,Stephens,kim.stephens@gmail.com,9758049401,11584 Sullivan Rest Apt. 423,South Ericaland,WI,320753398,2025-03-18
3,Michael,Morrison,michael.morrison@gmail.com,3347553034,626 Arnold Mews,South Duane,GA,253017399,2025-03-18
4,Justin,Scott,justin.scott@gmail.com,3430940270,7163 Thomas Greens,South Laura,HI,376125646,2025-03-18
5,Tanner,Duran,tanner.duran@gmail.com,9611340696,244 Melody Throughway Apt. 245,New Annettechester,VT,542257203,2025-03-18
6,Luis,Flores,luis.flores@gmail.com,8372834402,329 Christie Run,Lake Dorothy,DC,782501071,2025-03-18
7,Kristen,Mcclain,kristen.mcclain@gmail.com,7338398349,17176 Alexandra Causeway,North Scott,HI,505430486,2025-03-18
8,Tara,Allen,tara.allen@gmail.com,5390772777,904 Johnson Hills,Kevinfurt,CA,562236015,2025-03-18
9,Scott,Scott,scott.scott@gmail.com,9122849581,615 Martinez Green Apt. 749,West Lucaschester,DC,692207722,2025-03-18
10,Elizabeth,Allen,elizabeth.allen@gmail.com,6221039208,703 Bryce Centers,Lake Kyle,AL,450376986,2025-03-18
11,Maria,Donaldson,maria.donaldson@gmail.com,8037624023,08632 Mullins Mission,Alexanderhaven,ME,267008644,2025-03-18
12,Keith,Raymond,keith.raymond@gmail.com,2171645264,246 Phelps Highway,Marissachester,SC,846780723,2025-03-18
13,Jessica,Harvey,jessica.harvey@gmail.com,8201088191,06833 Jennifer Lake Suite 461,Pughfort,ME,544092005,2025-03-18
14,Maurice,Lawson,maurice.lawson@gmail.com,5514995135,8409 Randy Parkway Apt. 511,Davidton,AK,224667038,2025-03-18
15,Hannah,Snyder,hannah.snyder@gmail.com,4975281920,089 Heather Dam Suite 831,Caseyburgh,WI,612039118,2025-03-18
16,John,Young,john.young@gmail.com,8020093025,2406 David Haven Apt. 403,Matthewbury,ME,359204094,2025-03-18
17,James,Castro,james.castro@gmail.com,7849307170,182 Davis Crest,New Donnabury,NM,222796560,2025-03-18
